Date,Open,High,Low,Close
43102,170.160004,172.300003,169.259995,172.259995
43103,172.529999,174.550003,171.960007,172.229996
43104,172.539993,173.470001,172.080002,173.029999
43105,173.440002,175.369995,173.050003,175
43108,174.350006,175.610001,173.929993,174.350006
43109,174.550003,175.059998,173.410004,174.330002
43110,173.160004,174.300003,173,174.289993
43111,174.589996,175.490005,174.490005,175.279999
43112,176.179993,177.360001,175.649994,177.089996
43116,177.899994,179.389999,176.139999,176.190002
43117,176.149994,179.25,175.070007,179.100006
43118,179.369995,180.100006,178.25,179.259995
43119,178.610001,179.580002,177.410004,178.460007
43122,177.300003,177.779999,176.600006,177
43123,177.300003,179.440002,176.820007,177.039993
43124,177.25,177.300003,173.199997,174.220001
43125,174.509995,174.949997,170.529999,171.110001
43126,172,172,170.059998,171.509995
43129,170.160004,170.160004,167.070007,167.960007
43130,165.529999,167.369995,164.699997,166.970001
43131,166.869995,168.440002,166.5,167.429993
43132,167.169998,168.619995,166.759995,167.779999
43133,166,166.800003,160.100006,160.5
43136,159.100006,163.880005,156,156.490005
43137,154.830002,163.720001,154,163.029999
43138,163.089996,163.399994,159.070007,159.539993
43139,160.289993,161,155.029999,155.149994
43140,157.070007,157.889999,150.240005,156.410004
43143,158.5,163.889999,157.509995,162.710007
43144,161.949997,164.75,161.649994,164.339996
43145,163.039993,167.539993,162.880005,167.369995
43146,169.789993,173.089996,169,172.990005
43147,172.360001,174.820007,171.770004,172.429993
43151,172.050003,174.259995,171.419998,171.850006
43152,172.830002,174.119995,171.009995,171.070007
43153,171.800003,173.949997,171.710007,172.5
43154,173.669998,175.649994,173.539993,175.5
43157,176.350006,179.389999,176.210007,178.970001
43158,179.100006,180.479996,178.160004,178.389999
43159,179.259995,180.619995,178.050003,178.119995
43160,178.539993,179.779999,172.660004,175
43161,172.800003,176.300003,172.449997,176.210007
43164,175.210007,177.740005,174.520004,176.820007
43165,177.910004,178.25,176.130005,176.669998
43166,174.940002,175.850006,174.270004,175.029999
43167,175.479996,177.119995,175.070007,176.940002
43168,177.960007,180,177.389999,179.979996
43171,180.289993,182.389999,180.210007,181.720001
43172,182.589996,183.5,179.240005,179.970001
43173,180.320007,180.520004,177.809998,178.440002
43174,178.5,180.240005,178.070007,178.649994
43175,178.649994,179.119995,177.619995,178.020004
43178,177.320007,177.470001,173.660004,175.300003
43179,175.240005,176.800003,174.940002,175.240005
43180,175.039993,175.089996,171.259995,171.270004
43181,170,172.679993,168.600006,168.850006
43182,168.389999,169.919998,164.940002,164.940002
43185,168.070007,173.100006,166.440002,172.770004
43186,173.679993,175.149994,166.919998,168.339996
43187,167.25,170.020004,165.190002,166.479996
43188,167.809998,171.75,166.899994,167.779999
43192,166.639999,168.940002,164.470001,166.679993
43193,167.639999,168.75,164.880005,168.389999
43194,164.880005,172.009995,164.770004,171.610001
43195,172.580002,174.229996,172.080002,172.800003
43196,170.970001,172.479996,168.199997,168.380005
43199,169.880005,173.089996,169.850006,170.050003
43200,173,174,171.529999,173.25
43201,172.229996,173.919998,171.699997,172.440002
43202,173.410004,175,173.039993,174.139999
43203,174.779999,175.839996,173.850006,174.729996
43206,175.029999,176.190002,174.830002,175.820007
43207,176.490005,178.940002,176.410004,178.240005
43208,177.809998,178.820007,176.880005,177.839996
43209,173.759995,175.389999,172.660004,172.800003
43210,170.600006,171.220001,165.429993,165.720001
43213,166.830002,166.919998,164.089996,165.240005
43214,165.669998,166.330002,161.220001,162.940002
43215,162.619995,165.419998,162.410004,163.649994
43216,164.119995,165.729996,163.369995,164.220001
43217,164,164.330002,160.630005,162.320007
43220,162.130005,167.259995,161.839996,165.259995
43221,166.410004,169.199997,165.270004,169.100006
43222,175.229996,177.75,173.800003,176.570007
43223,175.880005,177.5,174.440002,176.889999
43224,178.25,184.25,178.169998,183.830002
43227,185.179993,187.669998,184.75,185.160004
43228,184.990005,186.220001,183.669998,186.050003
43229,186.550003,187.399994,185.220001,187.360001
43230,187.740005,190.369995,187.649994,190.039993
43231,189.490005,190.059998,187.449997,188.589996
43234,189.009995,189.529999,187.860001,188.149994
43235,186.779999,187.070007,185.100006,186.440002
43236,186.070007,188.460007,186,188.179993
43237,188,188.910004,186.360001,186.990005
43238,187.190002,187.809998,186.130005,186.309998
43241,188,189.270004,186.910004,187.630005
43242,188.380005,188.880005,186.779999,187.160004
43243,186.350006,188.5,185.759995,188.360001
43244,188.770004,188.839996,186.210007,188.149994
43245,188.229996,189.649994,187.649994,188.580002
43249,187.600006,188.75,186.869995,187.899994
43250,187.720001,188,186.779999,187.5
43251,187.220001,188.229996,186.139999,186.869995
43252,187.990005,190.259995,187.75,190.240005
43255,191.639999,193.419998,191.350006,191.830002
43256,193.070007,193.940002,192.360001,193.309998
43257,193.630005,194.080002,191.919998,193.979996
43258,194.139999,194.199997,192.339996,193.460007
43259,191.169998,192,189.770004,191.699997
43262,191.350006,191.970001,190.210007,191.229996
43263,191.389999,192.610001,191.149994,192.279999
43264,192.419998,192.880005,190.440002,190.699997
43265,191.550003,191.570007,190.220001,190.800003
43266,190.029999,190.160004,188.259995,188.839996
43269,187.880005,189.220001,187.199997,188.740005
43270,185.139999,186.330002,183.449997,185.690002
43271,186.350006,187.199997,185.729996,186.5
43272,187.25,188.350006,184.940002,185.460007
