Date,Open,High,Low,Close
43102,1048.339966,1066.939941,1045.22998,1065
43103,1064.310059,1086.290039,1063.209961,1082.47998
43104,1088,1093.569946,1084.001953,1086.400024
43105,1094,1104.25,1092,1102.22998
43108,1102.22998,1111.27002,1101.619995,1106.939941
43109,1109.400024,1110.569946,1101.230957,1106.26001
43110,1097.099976,1104.599976,1096.109985,1102.609985
43111,1106.300049,1106.525024,1099.589966,1105.52002
43112,1102.410034,1124.290039,1101.150024,1122.26001
43116,1132.51001,1139.910034,1117.832031,1121.76001
43117,1126.219971,1132.599976,1117.01001,1131.97998
43118,1131.410034,1132.51001,1117.5,1129.790039
43119,1131.829956,1137.859985,1128.300049,1137.51001
43122,1137.48999,1159.880005,1135.109985,1155.810059
43123,1159.849976,1171.626953,1158.75,1169.969971
43124,1177.329956,1179.859985,1161.050049,1164.23999
43125,1172.530029,1175.939941,1162.76001,1170.369995
43126,1175.079956,1175.839966,1158.109985,1175.839966
43129,1176.47998,1186.890015,1171.97998,1175.579956
43130,1167.829956,1176.52002,1163.52002,1163.689941
43131,1170.569946,1173,1159.130005,1169.939941
43132,1162.609985,1174,1157.52002,1167.699951
43133,1122,1123.069946,1107.277954,1111.900024
43136,1090.599976,1110,1052.030029,1055.800049
43137,1027.180054,1081.709961,1023.137024,1080.599976
43138,1081.540039,1081.780029,1048.26001,1048.579956
43139,1055.410034,1058.619995,1000.659973,1001.52002
43140,1017.25,1043.969971,992.559998,1037.780029
43143,1048,1061.5,1040.927979,1051.939941
43144,1045,1058.369995,1044.087036,1052.099976
43145,1048.949951,1071.719971,1046.75,1069.699951
43146,1079.069946,1091.479004,1064.339966,1089.52002
43147,1088.410034,1104.670044,1088.312988,1094.800049
43151,1090.569946,1113.949951,1088.52002,1102.459961
43152,1106.469971,1133.969971,1106.329956,1111.339966
43153,1116.189941,1122.819946,1102.589966,1106.630005
43154,1112.640015,1127.280029,1104.713989,1126.790039
43157,1127.800049,1143.959961,1126.694946,1143.75
43158,1141.23999,1144.040039,1118,1118.290039
43159,1123.030029,1127.530029,1103.23999,1104.72998
43160,1107.869995,1110.119995,1067.000977,1069.52002
43161,1053.079956,1081.999023,1048.11499,1078.920044
43164,1075.140015,1097.099976,1069,1090.930054
43165,1099.219971,1101.849976,1089.775024,1095.060059
43166,1089.189941,1112.219971,1085.482056,1109.640015
43167,1115.319946,1127.599976,1112.800049,1126
43168,1136,1160.800049,1132.46106,1160.040039
43171,1163.849976,1177.050049,1157.420044,1164.5
43172,1170,1176.76001,1133.329956,1138.170044
43173,1145.209961,1158.589966,1141.439941,1149.48999
43174,1149.959961,1161.079956,1134.540039,1149.579956
43175,1154.140015,1155.880005,1131.959961,1135.72998
43178,1120.01001,1121.98999,1089.01001,1099.819946
43179,1099,1105.199951,1083.459961,1097.709961
43180,1092.73999,1106.300049,1085.150024,1090.880005
43181,1081.880005,1082.900024,1045.910034,1049.079956
43182,1047.030029,1063.359985,1021.219971,1021.570007
43185,1046,1055.630005,1008.400024,1053.209961
43186,1063,1064.838989,996.919983,1005.099976
43187,998,1024.22998,980.640015,1004.559998
43188,1011.630005,1043,1002.900024,1031.790039
43192,1022.820007,1034.800049,990.369995,1006.469971
43193,1013.909973,1020.98999,994.070007,1013.409973
43194,993.409973,1028.718018,993,1025.140015
43195,1041.329956,1042.790039,1020.130981,1027.810059
43196,1020,1031.420044,1003.030029,1007.039978
43199,1016.799988,1039.599976,1014.080017,1015.450012
43200,1026.439941,1036.280029,1011.340027,1031.640015
43201,1027.98999,1031.364014,1015.869995,1019.969971
43202,1025.040039,1040.689941,1021.434998,1032.51001
43203,1040.880005,1046.420044,1022.97998,1029.27002
43206,1037,1043.23999,1026.73999,1037.97998
43207,1051.369995,1077.880005,1048.26001,1074.160034
43208,1077.430054,1077.430054,1066.224976,1072.079956
43209,1069.400024,1094.165039,1068.180054,1087.699951
43210,1082,1092.349976,1069.569946,1072.959961
43213,1077.859985,1082.719971,1060.699951,1067.449951
43214,1052,1057,1010.590027,1019.97998
43215,1025.52002,1032.48999,1015.309998,1021.179993
43216,1029.51001,1047.97998,1018.190002,1040.040039
43217,1046,1049.5,1025.589966,1030.050049
43220,1030.01001,1037,1016.849976,1017.330017
