Date,Open,High,Low,Close
43102,86.129997,86.309998,85.5,85.949997
43103,86.059998,86.510002,85.970001,86.349998
43104,86.589996,87.660004,86.57,87.110001
43105,87.660004,88.410004,87.43,88.190002
43108,88.199997,88.580002,87.599998,88.279999
43109,88.650002,88.730003,87.860001,88.220001
43110,87.860001,88.190002,87.410004,87.82
43111,88.129997,88.129997,87.239998,88.080002
43112,88.669998,89.779999,88.449997,89.599998
43116,90.099998,90.790001,88.010002,88.349998
43117,89.080002,90.279999,88.75,90.139999
43118,89.800003,90.669998,89.660004,90.099998
43119,90.139999,90.610001,89.660004,90
43122,90,91.620003,89.739998,91.610001
43123,91.900002,92.300003,91.540001,91.900002
43124,92.550003,93.43,91.580002,91.82
43125,92.470001,93.239998,91.93,92.330002
43126,93.120003,94.059998,92.580002,94.059998
43129,95.139999,95.449997,93.720001,93.919998
43130,93.300003,93.660004,92.099998,92.739998
43131,93.75,95.400002,93.510002,95.010002
43132,94.790001,96.07,93.580002,94.260002
43133,93.639999,93.970001,91.5,91.779999
43136,90.559998,93.239998,88,88
43137,86.889999,91.480003,85.25,91.330002
43138,90.489998,91.769997,89.199997,89.610001
43139,89.709999,89.879997,84.760002,85.010002
43140,86.300003,88.93,83.830002,88.18
43143,88.739998,89.779999,87.93,89.129997
43144,88.93,90,87.800003,89.830002
43145,88.510002,90.989998,88.410004,90.809998
43146,91.209999,92.720001,90.620003,92.660004
43147,92.449997,93.5,91.800003,92
43151,91.480003,93.059998,91.010002,92.720001
43152,92.980003,93.360001,91.489998,91.489998
43153,92.050003,92.730003,91.360001,91.730003
43154,93.599998,94.07,92.360001,94.059998
43157,94.400002,95.449997,94.25,95.419998
43158,95.739998,95.839996,94.199997,94.199997
43159,94.839996,95.709999,93.629997,93.769997
43160,93.989998,94.57,91.839996,92.849998
43161,91.580002,93.150002,90.860001,93.050003
43164,92.339996,94.269997,92.260002,93.639999
43165,94.339996,94.489998,92.940002,93.32
43166,93.160004,93.940002,92.43,93.860001
43167,94.269997,95.099998,93.769997,94.43
43168,95.290001,96.540001,95,96.540001
43171,96.5,97.209999,96.040001,96.769997
43172,97,97.239998,93.970001,94.410004
43173,95.120003,95.410004,93.5,93.849998
43174,93.529999,94.580002,92.830002,94.18
43175,94.68,95.379997,93.919998,94.599998
43178,93.739998,93.900002,92.110001,92.889999
43179,93.050003,93.769997,93,93.129997
43180,92.93,94.050003,92.209999,92.480003
43181,91.269997,91.75,89.660004,89.790001
