Date,Open,High,Low,Close
2018/1/2,24809.34961,24864.18945,24741.69922,24824.00977
2018/1/3,24850.44922,24941.91992,24825.55078,24922.67969
2018/1/4,24964.85938,25105.96094,24963.26953,25075.13086
2018/1/5,25114.91992,25299.78906,25112.00977,25295.86914
2018/1/8,25308.40039,25311.99023,25235.41016,25283
2018/1/9,25312.05078,25439.7793,25308.41016,25385.80078
2018/1/10,25348.13086,25404.91992,25256.99023,25369.13086
2018/1/11,25398.59961,25575.41992,25396.18945,25574.73047
2018/1/12,25638.39063,25810.42969,25633.08008,25803.18945
2018/1/16,25987.61914,26086.11914,25702.99023,25792.85938
2018/1/17,25910.7793,26130.44922,25865.01953,26115.65039
2018/1/18,26149.55078,26153.41992,25947.32031,26017.81055
2018/1/19,25987.34961,26071.7207,25942.83008,26071.7207
2018/1/22,26025.32031,26215.23047,25974.65039,26214.59961
2018/1/23,26214.86914,26246.18945,26143.90039,26210.81055
2018/1/24,26282.07031,26392.80078,26106.93945,26252.11914
2018/1/25,26313.06055,26458.25,26259.7207,26392.78906
2018/1/26,26466.74023,26616.71094,26425.34961,26616.71094
2018/1/29,26584.2793,26608.90039,26435.33984,26439.48047
2018/1/30,26198.44922,26256.99023,26028.41992,26076.89063
2018/1/31,26268.16992,26338.0293,26050.98047,26149.39063
2018/2/1,26083.03906,26306.69922,26014.43945,26186.71094
2018/2/2,26061.78906,26061.78906,25490.66016,25520.96094
2018/2/5,25337.86914,25520.5293,23923.88086,24345.75
2018/2/6,24085.16992,24946.23047,23778.74023,24912.76953
2018/2/7,24892.86914,25293.96094,24785.43945,24893.34961
2018/2/8,24902.30078,24903.67969,23849.23047,23860.46094
2018/2/9,23992.66992,24382.14063,23360.28906,24190.90039
2018/2/12,24337.75977,24765.16016,24290.48047,24601.26953
2018/2/13,24540.33008,24705.7207,24421.0293,24640.44922
2018/2/14,24535.82031,24925.94922,24490.35938,24893.49023
2018/2/15,25047.82031,25203.94922,24809.41992,25200.36914
2018/2/16,25165.93945,25432.41992,25149.25977,25219.38086
2018/2/20,25124.91016,25179.00977,24884.18945,24964.75
2018/2/21,24988.06055,25267.99023,24792.99023,24797.7793
2018/2/22,24855.41016,25156.7207,24854.83008,24962.48047
2018/2/23,25050.50977,25313.91016,25028.73047,25309.99023
2018/2/26,25403.34961,25732.80078,25398.56055,25709.26953
2018/2/27,25735.7793,25800.34961,25407.83008,25410.0293
2018/2/28,25485.15039,25576.15039,25022.41992,25029.19922
2018/3/1,25024.03906,25185.34961,24442.56055,24608.98047
2018/3/2,24394.91016,24592.46094,24217.75977,24538.06055
2018/3/5,24471.31055,24961,24387.15039,24874.75977
2018/3/6,24965.89063,24995.24023,24708.41016,24884.11914
2018/3/7,24758.15039,24849.67969,24535.11914,24801.35938
2018/3/8,24853.41016,24950.49023,24703.05078,24895.21094
2018/3/9,25004.89063,25336.33008,25004.89063,25335.74023
2018/3/12,25372.43945,25449.15039,25152.01953,25178.60938
2018/3/13,25257.75,25376.40039,24947.5,25007.0293
2018/3/14,25086.9707,25130.11914,24668.83008,24758.11914
2018/3/15,24837.28906,25053.86914,24753.28906,24873.66016
2018/3/16,24877.33984,25031,24857.08984,24946.50977
2018/3/19,24893.68945,24893.68945,24453.14063,24610.91016
2018/3/20,24650.64063,24803.60938,24650.64063,24727.26953
2018/3/21,24723.49023,24977.65039,24655.40039,24682.31055
2018/3/22,24526.00977,24526.00977,23938.74023,23957.89063
2018/3/23,23995.17969,24108.4707,23509.06055,23533.19922
2018/3/26,23825.74023,24232.30078,23741.2207,24202.59961
2018/3/27,24276.61914,24446.2207,23708.73047,23857.71094
