Date,Open,High,Low,Close
43102,12860.92969,12902.71973,12842.26953,12902.71973
43103,12910.62988,12963.38965,12906.99023,12957.28027
43104,12999.53027,13045.16016,12999.53027,13028.45996
43105,13066.37012,13104.51953,13039.08008,13103.23047
43108,13096.65039,13117.24023,13065.24023,13114.34961
43109,13123.83008,13156.87988,13110.90039,13120.83984
43110,13108.23047,13131.11035,13070.83984,13106.59961
43111,13106.59961,13210.76953,13106.59961,13210.76953
43112,13240.95996,13299.19043,13237.54981,13294.32031
43116,13343.82031,13371.96973,13215.25977,13246.86035
43117,13282.48047,13376.79981,13255.37988,13352.38965
43118,13341.75977,13353.13965,13299.92969,13315.91016
43119,13342.95996,13384.45996,13331.7002,13384.45996
43122,13388.32031,13470.40039,13381.33008,13470.37012
43123,13461.87012,13482.41992,13434.94043,13474.11035
43124,13520.07031,13556.37988,13452.75,13507.66016
43125,13548.87012,13555.50977,13479.57031,13512.66016
43126,13547.28027,13637.01953,13539.2002,13637.01953
43129,13592.79981,13605.91016,13520.67969,13524.65039
43130,13441.24023,13458.54004,13369.41992,13375.50977
43131,13416.83008,13443.25,13320.37012,13367.95996
43132,13338.99023,13414.78027,13324.32031,13381.96973
43133,13294.34961,13294.34961,13075.87988,13085.34961
43136,12974.19043,13050.16016,12518.20996,12572.92969
43137,12386.83984,12779.15039,12337.75977,12745.4502
43138,12696.9502,12866.58008,12685.42969,12687.17969
43139,12701.87988,12701.87988,12270.65039,12270.65039
43140,12364.30957,12484.61035,12048.66016,12405.82031
43143,12496.34961,12627.41016,12416.91016,12560.12012
43144,12512.29981,12599.71973,12481.98047,12574.37012
43145,12515.49023,12761.42969,12504.24023,12746.71973
43146,12817.17969,12857.71973,12695.24023,12856.87012
43147,12826.90039,12961.12012,12826.90039,12874.36035
43151,12817.13965,12855.71973,12730.00977,12763.33984
43152,12777.36035,12896.92969,12695.30957,12695.53027
43153,12732.82031,12828,12687.24023,12711.75
43154,12766.12988,12885.12988,12755.33984,12884.11035
43157,12922.16016,13005.50977,12881.98047,12999.62012
43158,12986.94043,13018.15039,12819.21973,12819.21973
43159,12852.11035,12873.84961,12650.80957,12652.54981
43160,12644.42969,12716.4502,12435.87012,12518.73047
43161,12444.65039,12576.55957,12391.20996,12557.99023
43164,12498.4502,12710.57031,12482.78027,12680.73047
43165,12722.30957,12735.44043,12648.25,12720.76953
43166,12634.04004,12724.83984,12603.5,12707.00977
43167,12725.16016,12754.32031,12672.36035,12745.00977
43168,12802.13965,12918.82031,12782.92969,12918.82031
43171,12930.42969,12963.41992,12881.16992,12898.40039
43172,12938.5,12963.08984,12809.07031,12831.75
43173,12874.51953,12892.90039,12743.90039,12762.66992
43174,12788.16016,12813.59961,12722.92969,12743.61035
43175,12752.69043,12821.86035,12752.69043,12784.38965
43178,12755.54981,12755.54981,12580.07031,12651.45996
43179,12663.25,12692.53027,12643.58984,12663.63965
43180,12663.66016,12776.33008,12654.71973,12683.75977
43181,12574.16016,12597.09961,12369.73047,12377.38965
43182,12413.61035,12449.03027,12166.54004,12177.7002
43185,12327.05957,12444.40039,12241.48047,12433.15039
43186,12466.38965,12517.25977,12246.41016,12302.54004
43187,12325.29004,12399.23047,12271.03027,12308.90039
43188,12356.19043,12512,12356.08008,12452.05957
43192,12432.88965,12441.84961,12107.71973,12216.70996
