Date,Open,High,Low,Close,Volume
42009,140.5,140.5,137.5,139.5,32046000
42010,137.5,137.5,133,133.5,66778000
42011,133.5,135,133.5,134,43703000
42012,136.5,138,136,138,42491000
42013,135,135.5,133,134,61558000
42016,132.5,133.5,132,132,30338000
42017,131,133,130.5,132.5,37818000
42018,132.5,133,130,130,48740000
42019,131.5,133,131.5,131.5,40607000
42020,140,140,136,137,124042000
42023,138.5,139.5,137.5,139,49986000
42024,139,139,137.5,138,32739000
42025,139.5,141,139.5,141,70464000
42026,141.5,142,139.5,140,43846000
42027,142.5,145,142.5,145,82089000
42030,145.5,145.5,143.5,145,46716000
42031,145.5,147,144.5,147,52805000
42032,146.5,147,145.5,146.5,45898000
42033,144,145,143,143.5,34459000
42034,145,145.5,141,141,43666000
42037,140.5,143,140.5,142.5,29181000
42038,143,144.5,142,144.5,27160000
42039,144.5,146.5,144,146,40416000
42040,145.5,146,143.5,145.5,23363000
42041,145.5,145.5,143,143,27301000
42044,143,143.5,141.5,142,26315000
42045,142,143,141.5,142.5,33294000
42046,146,149,146,148,71259000
42047,149.5,149.5,147.5,148.5,33577000
42048,148.5,150,148,148.5,37815000
42059,149,152,148.5,151,72531000
42060,152.5,154.5,152.5,154.5,48183000
42061,153.5,154,150.5,150.5,55574000
42065,151.5,153,148.5,149,41388000
42066,150,151,148.5,150.5,29134000
42067,150,151.5,149,150.5,32627000
42068,150,151,148.5,150,28872000
42069,149,149.5,148.5,149,31316000
42072,147.5,147.5,145,145.5,67163000
42073,145,145,144,144,46809000
42074,143.5,148,143,146,51795000
42075,147,148.5,146.5,148,32183000
42076,148,149.5,147,149,45451000
42079,149,149.5,146,146,36912000
42080,148.5,150,148.5,149,55718000
42081,151,154,150,153.5,70808000
42082,152.5,155,152.5,154,43070000
42083,151.5,154,151.5,154,37536000
42086,154,154,152.5,153.5,26285000
42087,153.5,153.5,151.5,151.5,36086000
42088,152,152.5,150.5,151,44424000
42089,145.5,147,144.5,145.5,157081000
42090,144,145.5,142.5,142.5,106610000
42093,142.5,144,142,142.5,59832000
42094,144,145.5,143,145.5,56539000
42095,145,145,143.5,144,38697000
42096,145,148,144.5,147,49213000
42101,146.5,147.5,145,146,33362000
42102,145.5,146,143,143,47500000
42103,144,145.5,143,143,46493000
42104,146,147,145,147,33819000
42107,146.5,147.5,146,147,23821000
