Date,Open,High,Low,Close,Volume
42738,800.619995,811.440002,796.890015,808.01001,1959000
42739,809.890015,813.429993,804.109985,807.77002,1515300
42740,807.5,813.73999,805.919983,813.02002,1340500
42741,814.98999,828.960022,811.5,825.210022,2017100
42744,826.369995,830.429993,821.619995,827.179993,1406800
42745,827.070007,829.409973,823.140015,826.01001,1197400
42746,826.619995,829.900024,821.469971,829.859985,1325400
42747,828.380005,830.380005,821.01001,829.530029,1349500
42748,831,834.650024,829.52002,830.940002,1290200
42752,830,830.179993,823.200012,827.460022,1439700
42753,829.799988,829.809998,824.080017,829.02002,1027700
42754,829,833,823.960022,824.369995,1070500
42755,829.090027,829.23999,824.599976,828.169983,1306200
42758,831.609985,845.539978,828.700012,844.429993,2457400
42759,846.97998,851.52002,842.280029,849.530029,1688400
42760,853.549988,858.789978,849.73999,858.450012,1655400
42761,859.049988,861,850.52002,856.97998,3493300
42762,859,867,841.900024,845.030029,3752500
42765,837.059998,837.22998,821.030029,823.830017,3516900
42766,819.5,823.070007,813.400024,820.190002,2020200
42767,824,824,812.25,815.23999,2251000
42768,815,824.559998,812.049988,818.26001,1689200
42769,823.130005,826.130005,819.349976,820.130005,1528100
42772,820.919983,822.390015,814.289978,821.619995,1350900
42773,825.5,831.919983,823.289978,829.22998,1666600
42774,830.530029,834.25,825.109985,829.880005,1302200
42775,831.72998,831.97998,826.5,830.059998,1194200
42776,832.950012,837.150024,830.51001,834.849976,1415100
42779,837.700012,841.73999,836.25,838.960022,1295700
42780,839.77002,842,835.830017,840.030029,1296300
42781,838.809998,841.77002,836.219971,837.320007,1357200
42782,838.5,842.690002,837.26001,842.169983,1005100
42783,841.309998,846.940002,839.780029,846.549988,1461200
42787,847.98999,852.200012,846.549988,849.27002,1260300
42788,848,853.789978,846.710022,851.359985,1224400
42789,851.080017,852.619995,842.5,851,1386700
42790,847.650024,848.359985,842.960022,847.809998,1346200
42793,844.950012,850.669983,843.01001,849.669983,1010300
42794,847.349976,848.830017,841.440002,844.929993,1383100
42795,851.380005,858,849.02002,856.75,1818700
42796,856.309998,856.48999,848.719971,849.849976,1250900
42797,848.940002,850.820007,844.710022,849.080017,1005000
42800,846.859985,848.940002,841.169983,847.27002,1047900
42801,847.26001,853.330017,845.52002,851.150024,1038700
42802,853.119995,856.929993,851.25,853.640015,1028800
42803,853.690002,860.710022,852.669983,857.840027,1347700
42804,862.700012,864.22998,857.609985,861.409973,1336600
42807,860.830017,867.130005,860.820007,864.580017,1166600
42808,863.75,867.580017,860.130005,865.909973,1061700
42809,867.940002,869.880005,861.299988,868.390015,1332900
42810,870.530029,872.710022,867.52002,870,1104500
42811,873.679993,874.419983,868.369995,872.369995,1868300
42814,869.47998,870.340027,864.669983,867.909973,1542200
42815,870.059998,873.469971,847.690002,850.140015,2538000
42816,849.47998,855.349976,847,849.799988,1366700
42817,841.390015,841.690002,833,839.650024,3287700
42818,842,844,829.099976,835.140015,2105700
42821,828.090027,841.380005,824.299988,838.51001,1934600
42822,839.690002,845.400024,832.27002,840.630005,1519200
42823,842.75,851.590027,841.380005,849.869995,1457300
42824,851.97998,852,846.77002,849.47998,949400
42825,846.830017,849.559998,845.23999,847.799988,1441000
42828,848.75,859,847.530029,856.75,1969400
42829,848,853,847.51001,852.570007,1348500
42830,854.710022,860.590027,847.52002,848.909973,1855200
42831,849.5,853.590027,844,845.099976,1533600
42832,845,845.880005,837.299988,842.099976,1111600
42835,841.539978,846.73999,840.789978,841.700012,1046200
42836,841.700012,844.630005,834.599976,839.880005,974300
42837,838.460022,843.719971,837.590027,841.460022,1135800
42838,841.039978,843.72998,837.849976,840.179993,1073700
42842,841.380005,855.640015,841.030029,855.130005,1049100
42843,852.539978,857.390015,851.25,853.98999,936200
42844,857.390015,860.200012,853.530029,856.51001,1080300
42845,859.73999,863.929993,857.5,860.080017,1188800
42846,860.619995,862.440002,857.72998,858.950012,1172900
42849,868.440002,879.960022,866.109985,878.929993,1696500
42850,882.26001,892.25,879.280029,888.840027,2038000
42851,891.390015,892.98999,885.150024,889.140015,1323300
42852,890,893.380005,887.179993,891.440002,2342300
42853,929,935.900024,923.219971,924.52002,3797800
42856,924.150024,935.820007,920.799988,932.820007,2327800
42857,933.27002,942.98999,931,937.090027,1751300
